"file","language","code","blank","comment"
".\src\app\smartrotom\misiones\_utils\questLogUtils.tsx","TypeScript","124","5","0"
".\src\app\(boffmedia)\(politicas)\privacidad\page.tsx","TypeScript","124","11","0"
".\src\app\wingull\page.tsx","TypeScript","123","13","0"
".\src\app\smartrotom\pokedex\tipos\_components\FullTypeChart.tsx","TypeScript","122","12","2"
".\src\components\smartrotom\apps\AppSlot.tsx","TypeScript","121","9","2"
".\src\components\ui\display\OrbitingElementsCloud.tsx","TypeScript","121","3","0"
".\src\services\api\smartrotom\wingullService.ts","TypeScript","121","38","88"
".\src\app\smartrotom\admin\_components\GlitchStyles.tsx","TypeScript","121","14","2"
".\src\app\(boffmedia)\(eventos)\eventos\_components\EventRegistrationButton.tsx","TypeScript","121","19","6"
".\src\app\(boffmedia)\(eventos)\juegos\_components\GameCard.tsx","TypeScript","121","10","0"
".\src\app\battlesim\calc\_components\panel\StatDisplay.tsx","TypeScript","121","19","7"
".\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_hooks\useBuildState.tsx","TypeScript","120","13","8"
".\src\app\smartrotom\starbank\_components\TopBar.tsx","TypeScript","119","9","3"
".\src\app\smartrotom\arcade\loot\_components\collection\ItemCollection.tsx","TypeScript","119","14","3"
".\src\app\(boffmedia)\(herramientas)\pokemon\tcgpocket\_components\CollectionGroup.tsx","TypeScript","119","9","0"
".\src\components\smartrotom\twitch\ContentGrid.tsx","TypeScript","118","9","1"
".\src\app\smartrotom\arcade\loot\_components\selector\BoxCarousel.tsx","TypeScript","118","11","0"
".\src\app\smartrotom\camara\_components\ScreenshotPreviewDialog.tsx","TypeScript","117","12","0"
".\src\app\smartrotom\arcade\test\tama\page.tsx","TypeScript","116","13","1"
".\src\app\wingull\pueblos\[pueblo]\_components\amenities\AmenityCard.tsx","TypeScript","115","11","1"
".\src\config\gameTools.ts","TypeScript","115","7","1"
".\src\app\(boffmedia)\_components\sections\GameSpotlightCard.tsx","TypeScript","115","5","5"
".\src\app\smartrotom\pokedex\_components\PossibleSpawns.tsx","TypeScript","115","15","0"
".\src\components\smartrotom\AppWrapper.tsx","TypeScript","114","17","15"
".\src\app\smartrotom\pokedex\tipos\_components\TypeEffectivenessTable.tsx","TypeScript","114","13","4"
".\src\app\smartrotom\pokedex\tipos\page.tsx","TypeScript","113","10","0"
".\src\components\ui\primitives\accordion.tsx","TypeScript","113","19","0"
".\src\app\smartrotom\arcade\maze\utils\mazeGenerator.ts","TypeScript","113","26","9"
".\src\app\smartrotom\camara\_components\ScreenshotMetadata.tsx","TypeScript","113","7","0"
".\src\tools\pmd-sky\QuestData.ts","TypeScript","112","27","17"
".\src\components\ui\navigation\DropdownMenu.tsx","TypeScript","112","11","2"
".\src\app\smartrotom\mina\utils.ts","TypeScript","112","26","2"
".\src\app\smartrotom\pokedex\localizacion\[id]\page.tsx","TypeScript","111","10","1"
".\src\app\smartrotom\taxi\components\SelectedStopDetails.tsx","TypeScript","111","9","0"
".\src\app\battlesim\calc\_hooks\usePokemonState.ts","TypeScript","111","12","1"
".\src\app\page2.tsx","TypeScript","111","6","0"
".\src\app\smartrotom\pokedex\tipos\_components\DualTypeAnalysis.tsx","TypeScript","110","9","3"
".\src\app\smartrotom\arcade\_components\daily\WeeklyStreak.tsx","TypeScript","110","15","3"
".\src\app\battlesim\calc\_components\PokemonPanel.tsx","TypeScript","110","13","1"
".\src\app\smartrotom\pokedex\entrada\[[...params]]\_components\SpawnTable.tsx","TypeScript","109","10","0"
".\src\app\smartrotom\mewtube\types.ts","TypeScript","108","6","2"
".\src\app\(boffmedia)\(herramientas)\mhwilds\tree\page copy.tsx","TypeScript","108","17","9"
".\src\components\boffmedia\leaderboard\LeaderboardCard.tsx","TypeScript","107","12","0"
".\src\components\boffmedia\layouts\GameToolsLayout\MobileSidebar.tsx","TypeScript","107","7","1"
".\src\app\smartrotom\pokedex\entrada\[[...params]]\_components\PokemonList.tsx","TypeScript","107","9","0"
".\src\app\smartrotom\pc\hooks\usePCWithFilters.ts","TypeScript","106","20","25"
".\src\app\(boffmedia)\_components\sections\CommunitySection.tsx","TypeScript","106","10","0"
".\src\app\smartrotom\starbank\enviar\page.tsx","TypeScript","105","6","0"
